path,Statcast,PitchFX,Pre-tracking
gameData.moundVisits.away.remaining,int,N/A,N/A
gameData.moundVisits.away.used,int,N/A,N/A
gameData.moundVisits.home.remaining,int,N/A,N/A
gameData.moundVisits.home.used,int,N/A,N/A
gameData.officialScorer.fullName,str,str,N/A
gameData.officialScorer.id,int,int,N/A
gameData.officialScorer.link,str,str,N/A
gameData.players.ID110011.active,N/A,N/A,bool
gameData.players.ID110011.batSide.code,N/A,N/A,str
gameData.players.ID110011.batSide.description,N/A,N/A,str
gameData.players.ID110011.birthCity,N/A,N/A,str
gameData.players.ID110011.birthCountry,N/A,N/A,str
gameData.players.ID110011.birthDate,N/A,N/A,str
gameData.players.ID110011.birthStateProvince,N/A,N/A,str
gameData.players.ID110011.boxscoreName,N/A,N/A,str
gameData.players.ID110011.currentAge,N/A,N/A,int
gameData.players.ID110011.draftYear,N/A,N/A,int
gameData.players.ID110011.firstLastName,N/A,N/A,str
gameData.players.ID110011.firstName,N/A,N/A,str
gameData.players.ID110011.fullFMLName,N/A,N/A,str
gameData.players.ID110011.fullLFMName,N/A,N/A,str
gameData.players.ID110011.fullName,N/A,N/A,str
gameData.players.ID110011.gender,N/A,N/A,str
gameData.players.ID110011.height,N/A,N/A,str
gameData.players.ID110011.id,N/A,N/A,int
gameData.players.ID110011.initLastName,N/A,N/A,str
gameData.players.ID110011.isPlayer,N/A,N/A,bool
gameData.players.ID110011.isVerified,N/A,N/A,bool
gameData.players.ID110011.lastFirstName,N/A,N/A,str
gameData.players.ID110011.lastInitName,N/A,N/A,str
gameData.players.ID110011.lastName,N/A,N/A,str
gameData.players.ID110011.lastPlayedDate,N/A,N/A,str
gameData.players.ID110011.link,N/A,N/A,str
gameData.players.ID110011.middleName,N/A,N/A,str
gameData.players.ID110011.mlbDebutDate,N/A,N/A,str
gameData.players.ID110011.nameFirstLast,N/A,N/A,str
gameData.players.ID110011.nameSlug,N/A,N/A,str
gameData.players.ID110011.pitchHand.code,N/A,N/A,str
gameData.players.ID110011.pitchHand.description,N/A,N/A,str
gameData.players.ID110011.primaryNumber,N/A,N/A,str
gameData.players.ID110011.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID110011.primaryPosition.code,N/A,N/A,str
gameData.players.ID110011.primaryPosition.name,N/A,N/A,str
gameData.players.ID110011.primaryPosition.type,N/A,N/A,str
gameData.players.ID110011.strikeZoneBottom,N/A,N/A,float
gameData.players.ID110011.strikeZoneTop,N/A,N/A,float
gameData.players.ID110011.useLastName,N/A,N/A,str
gameData.players.ID110011.useName,N/A,N/A,str
gameData.players.ID110011.weight,N/A,N/A,int
gameData.players.ID110090.active,N/A,N/A,bool
gameData.players.ID110090.batSide.code,N/A,N/A,str
gameData.players.ID110090.batSide.description,N/A,N/A,str
gameData.players.ID110090.birthCity,N/A,N/A,str
gameData.players.ID110090.birthCountry,N/A,N/A,str
gameData.players.ID110090.birthDate,N/A,N/A,str
gameData.players.ID110090.birthStateProvince,N/A,N/A,str
gameData.players.ID110090.boxscoreName,N/A,N/A,str
gameData.players.ID110090.currentAge,N/A,N/A,int
gameData.players.ID110090.draftYear,N/A,N/A,int
gameData.players.ID110090.firstLastName,N/A,N/A,str
gameData.players.ID110090.firstName,N/A,N/A,str
gameData.players.ID110090.fullFMLName,N/A,N/A,str
gameData.players.ID110090.fullLFMName,N/A,N/A,str
gameData.players.ID110090.fullName,N/A,N/A,str
gameData.players.ID110090.gender,N/A,N/A,str
gameData.players.ID110090.height,N/A,N/A,str
gameData.players.ID110090.id,N/A,N/A,int
gameData.players.ID110090.initLastName,N/A,N/A,str
gameData.players.ID110090.isPlayer,N/A,N/A,bool
gameData.players.ID110090.isVerified,N/A,N/A,bool
gameData.players.ID110090.lastFirstName,N/A,N/A,str
gameData.players.ID110090.lastInitName,N/A,N/A,str
gameData.players.ID110090.lastName,N/A,N/A,str
gameData.players.ID110090.lastPlayedDate,N/A,N/A,str
gameData.players.ID110090.link,N/A,N/A,str
gameData.players.ID110090.middleName,N/A,N/A,str
gameData.players.ID110090.mlbDebutDate,N/A,N/A,str
gameData.players.ID110090.nameFirstLast,N/A,N/A,str
gameData.players.ID110090.nameSlug,N/A,N/A,str
gameData.players.ID110090.pitchHand.code,N/A,N/A,str
gameData.players.ID110090.pitchHand.description,N/A,N/A,str
gameData.players.ID110090.primaryNumber,N/A,N/A,str
gameData.players.ID110090.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID110090.primaryPosition.code,N/A,N/A,str
gameData.players.ID110090.primaryPosition.name,N/A,N/A,str
gameData.players.ID110090.primaryPosition.type,N/A,N/A,str
gameData.players.ID110090.strikeZoneBottom,N/A,N/A,float
gameData.players.ID110090.strikeZoneTop,N/A,N/A,float
gameData.players.ID110090.useLastName,N/A,N/A,str
gameData.players.ID110090.useName,N/A,N/A,str
gameData.players.ID110090.weight,N/A,N/A,int
gameData.players.ID110135.active,N/A,N/A,bool
gameData.players.ID110135.batSide.code,N/A,N/A,str
gameData.players.ID110135.batSide.description,N/A,N/A,str
gameData.players.ID110135.birthCity,N/A,N/A,str
gameData.players.ID110135.birthCountry,N/A,N/A,str
gameData.players.ID110135.birthDate,N/A,N/A,str
gameData.players.ID110135.boxscoreName,N/A,N/A,str
gameData.players.ID110135.currentAge,N/A,N/A,int
gameData.players.ID110135.firstLastName,N/A,N/A,str
gameData.players.ID110135.firstName,N/A,N/A,str
gameData.players.ID110135.fullFMLName,N/A,N/A,str
gameData.players.ID110135.fullLFMName,N/A,N/A,str
gameData.players.ID110135.fullName,N/A,N/A,str
gameData.players.ID110135.gender,N/A,N/A,str
gameData.players.ID110135.height,N/A,N/A,str
gameData.players.ID110135.id,N/A,N/A,int
gameData.players.ID110135.initLastName,N/A,N/A,str
gameData.players.ID110135.isPlayer,N/A,N/A,bool
gameData.players.ID110135.isVerified,N/A,N/A,bool
gameData.players.ID110135.lastFirstName,N/A,N/A,str
gameData.players.ID110135.lastInitName,N/A,N/A,str
gameData.players.ID110135.lastName,N/A,N/A,str
gameData.players.ID110135.lastPlayedDate,N/A,N/A,str
gameData.players.ID110135.link,N/A,N/A,str
gameData.players.ID110135.middleName,N/A,N/A,str
gameData.players.ID110135.mlbDebutDate,N/A,N/A,str
gameData.players.ID110135.nameFirstLast,N/A,N/A,str
gameData.players.ID110135.nameSlug,N/A,N/A,str
gameData.players.ID110135.nickName,N/A,N/A,str
gameData.players.ID110135.pitchHand.code,N/A,N/A,str
gameData.players.ID110135.pitchHand.description,N/A,N/A,str
gameData.players.ID110135.primaryNumber,N/A,N/A,str
gameData.players.ID110135.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID110135.primaryPosition.code,N/A,N/A,str
gameData.players.ID110135.primaryPosition.name,N/A,N/A,str
gameData.players.ID110135.primaryPosition.type,N/A,N/A,str
gameData.players.ID110135.strikeZoneBottom,N/A,N/A,float
gameData.players.ID110135.strikeZoneTop,N/A,N/A,float
gameData.players.ID110135.useLastName,N/A,N/A,str
gameData.players.ID110135.useName,N/A,N/A,str
gameData.players.ID110135.weight,N/A,N/A,int
gameData.players.ID110262.active,N/A,N/A,bool
gameData.players.ID110262.batSide.code,N/A,N/A,str
gameData.players.ID110262.batSide.description,N/A,N/A,str
gameData.players.ID110262.birthCity,N/A,N/A,str
gameData.players.ID110262.birthCountry,N/A,N/A,str
gameData.players.ID110262.birthDate,N/A,N/A,str
gameData.players.ID110262.birthStateProvince,N/A,N/A,str
gameData.players.ID110262.boxscoreName,N/A,N/A,str
gameData.players.ID110262.currentAge,N/A,N/A,int
gameData.players.ID110262.draftYear,N/A,N/A,int
gameData.players.ID110262.firstLastName,N/A,N/A,str
gameData.players.ID110262.firstName,N/A,N/A,str
gameData.players.ID110262.fullFMLName,N/A,N/A,str
gameData.players.ID110262.fullLFMName,N/A,N/A,str
gameData.players.ID110262.fullName,N/A,N/A,str
gameData.players.ID110262.gender,N/A,N/A,str
gameData.players.ID110262.height,N/A,N/A,str
gameData.players.ID110262.id,N/A,N/A,int
gameData.players.ID110262.initLastName,N/A,N/A,str
gameData.players.ID110262.isPlayer,N/A,N/A,bool
gameData.players.ID110262.isVerified,N/A,N/A,bool
gameData.players.ID110262.lastFirstName,N/A,N/A,str
gameData.players.ID110262.lastInitName,N/A,N/A,str
gameData.players.ID110262.lastName,N/A,N/A,str
gameData.players.ID110262.lastPlayedDate,N/A,N/A,str
gameData.players.ID110262.link,N/A,N/A,str
gameData.players.ID110262.middleName,N/A,N/A,str
gameData.players.ID110262.mlbDebutDate,N/A,N/A,str
gameData.players.ID110262.nameFirstLast,N/A,N/A,str
gameData.players.ID110262.nameSlug,N/A,N/A,str
gameData.players.ID110262.pitchHand.code,N/A,N/A,str
gameData.players.ID110262.pitchHand.description,N/A,N/A,str
gameData.players.ID110262.primaryNumber,N/A,N/A,str
gameData.players.ID110262.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID110262.primaryPosition.code,N/A,N/A,str
gameData.players.ID110262.primaryPosition.name,N/A,N/A,str
gameData.players.ID110262.primaryPosition.type,N/A,N/A,str
gameData.players.ID110262.strikeZoneBottom,N/A,N/A,float
gameData.players.ID110262.strikeZoneTop,N/A,N/A,float
gameData.players.ID110262.useLastName,N/A,N/A,str
gameData.players.ID110262.useName,N/A,N/A,str
gameData.players.ID110262.weight,N/A,N/A,int
gameData.players.ID110818.active,N/A,N/A,bool
gameData.players.ID110818.batSide.code,N/A,N/A,str
gameData.players.ID110818.batSide.description,N/A,N/A,str
gameData.players.ID110818.birthCity,N/A,N/A,str
gameData.players.ID110818.birthCountry,N/A,N/A,str
gameData.players.ID110818.birthDate,N/A,N/A,str
gameData.players.ID110818.birthStateProvince,N/A,N/A,str
gameData.players.ID110818.boxscoreName,N/A,N/A,str
gameData.players.ID110818.currentAge,N/A,N/A,int
gameData.players.ID110818.draftYear,N/A,N/A,int
gameData.players.ID110818.firstLastName,N/A,N/A,str
gameData.players.ID110818.firstName,N/A,N/A,str
gameData.players.ID110818.fullFMLName,N/A,N/A,str
gameData.players.ID110818.fullLFMName,N/A,N/A,str
gameData.players.ID110818.fullName,N/A,N/A,str
gameData.players.ID110818.gender,N/A,N/A,str
gameData.players.ID110818.height,N/A,N/A,str
gameData.players.ID110818.id,N/A,N/A,int
gameData.players.ID110818.initLastName,N/A,N/A,str
gameData.players.ID110818.isPlayer,N/A,N/A,bool
gameData.players.ID110818.isVerified,N/A,N/A,bool
gameData.players.ID110818.lastFirstName,N/A,N/A,str
gameData.players.ID110818.lastInitName,N/A,N/A,str
gameData.players.ID110818.lastName,N/A,N/A,str
gameData.players.ID110818.lastPlayedDate,N/A,N/A,str
gameData.players.ID110818.link,N/A,N/A,str
gameData.players.ID110818.middleName,N/A,N/A,str
gameData.players.ID110818.mlbDebutDate,N/A,N/A,str
gameData.players.ID110818.nameFirstLast,N/A,N/A,str
gameData.players.ID110818.nameSlug,N/A,N/A,str
gameData.players.ID110818.pitchHand.code,N/A,N/A,str
gameData.players.ID110818.pitchHand.description,N/A,N/A,str
gameData.players.ID110818.primaryNumber,N/A,N/A,str
gameData.players.ID110818.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID110818.primaryPosition.code,N/A,N/A,str
gameData.players.ID110818.primaryPosition.name,N/A,N/A,str
gameData.players.ID110818.primaryPosition.type,N/A,N/A,str
gameData.players.ID110818.strikeZoneBottom,N/A,N/A,float
gameData.players.ID110818.strikeZoneTop,N/A,N/A,float
gameData.players.ID110818.useLastName,N/A,N/A,str
gameData.players.ID110818.useName,N/A,N/A,str
gameData.players.ID110818.weight,N/A,N/A,int
gameData.players.ID111673.active,N/A,N/A,bool
gameData.players.ID111673.batSide.code,N/A,N/A,str
gameData.players.ID111673.batSide.description,N/A,N/A,str
gameData.players.ID111673.birthCity,N/A,N/A,str
gameData.players.ID111673.birthCountry,N/A,N/A,str
gameData.players.ID111673.birthDate,N/A,N/A,str
gameData.players.ID111673.birthStateProvince,N/A,N/A,str
gameData.players.ID111673.boxscoreName,N/A,N/A,str
gameData.players.ID111673.currentAge,N/A,N/A,int
gameData.players.ID111673.draftYear,N/A,N/A,int
gameData.players.ID111673.firstLastName,N/A,N/A,str
gameData.players.ID111673.firstName,N/A,N/A,str
gameData.players.ID111673.fullFMLName,N/A,N/A,str
gameData.players.ID111673.fullLFMName,N/A,N/A,str
gameData.players.ID111673.fullName,N/A,N/A,str
gameData.players.ID111673.gender,N/A,N/A,str
gameData.players.ID111673.height,N/A,N/A,str
gameData.players.ID111673.id,N/A,N/A,int
gameData.players.ID111673.initLastName,N/A,N/A,str
gameData.players.ID111673.isPlayer,N/A,N/A,bool
gameData.players.ID111673.isVerified,N/A,N/A,bool
gameData.players.ID111673.lastFirstName,N/A,N/A,str
gameData.players.ID111673.lastInitName,N/A,N/A,str
gameData.players.ID111673.lastName,N/A,N/A,str
gameData.players.ID111673.lastPlayedDate,N/A,N/A,str
gameData.players.ID111673.link,N/A,N/A,str
gameData.players.ID111673.middleName,N/A,N/A,str
gameData.players.ID111673.mlbDebutDate,N/A,N/A,str
gameData.players.ID111673.nameFirstLast,N/A,N/A,str
gameData.players.ID111673.nameSlug,N/A,N/A,str
gameData.players.ID111673.pitchHand.code,N/A,N/A,str
gameData.players.ID111673.pitchHand.description,N/A,N/A,str
gameData.players.ID111673.primaryNumber,N/A,N/A,str
gameData.players.ID111673.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID111673.primaryPosition.code,N/A,N/A,str
gameData.players.ID111673.primaryPosition.name,N/A,N/A,str
gameData.players.ID111673.primaryPosition.type,N/A,N/A,str
